ID,RQ3
1,No
2,"Heatmaps: ""within ten time steps after the learner correctly answered the exercises
containing knowledge point 24 at the first time step, CAKQN-Rnl did not update the learner�s mastery of knowledge point 24, while CAKQN-R showed that the degree of learner�s mastery of knowledge point 24 has been declining. It can be seen that the CAKQN-Rnl model does not consider the learner�s forgetting behavior during the learning period"""
3,"Heatmap: ""although both __1 and __2 provide wrong answers to the exercise __2 (which is associated with the KC ��Segments and Angles��), the knowledge state on the KC ��Segments and Angles�� of __1 does not change significantly while the mastery of the KC ��Segments and Angles�� of __2 decreases clearly. The main reason is that for outstanding students (e.g. __1), they can even learn knowledge concepts from errors they made. However, for the average students, the negative responses suggest that they need to improve their mastery on certain knowledge concepts."""
4,"Heatmaps: ""With the increase of the number of exercises, the prior and posterior probability of students mastering knowledge concepts are also steadily improving. The continuous and slow changes in the prior and posterior probabilities are consistent with our empirical understanding of the learning process."""
5,"we observe that: (1) the estimated knowledge acquisition state of _2 decreases quite a bit when the student mistakenly answers the questions that contain the KC C2 twice (e.g., questions 5 and 8). (2) On the other hand, the student gives the right answers to the questions (questions 22, 26, and 31) which are related to the KC C3, hence the knowledge acquisition of KC C3 is constantly increasing. (3) As the student practices more questions, the knowledge acquisition state estimations become much more stable and after finishing all these 50 questions, the model is confident that the student has acquired the KCs C1, C3, and C5."
6,"in the ABKT model, the simulation curves of the students� degree of knowledge mastery are more intuitive and readable. ABKT curves are more directional, intuitively revealing the changing trend of the learners� knowledge
mastery degree over time"
7,"Heatmaps: ""First, comparing the non-transferring and transferring results in each heatmap, we can easily see that the transferred result is more stable and the change is not dramatic, especially at the end, student�s knowledge state has no changes since he answers these questions correctly. """
8,No
9,"exclusive proficiency fluctuates significantly due to the impact of individual exercise outcomes, which indicates the limitations of predicting based solely on students� superficial exercise mastery. However, with CFGKT, the student�s proficiency in __2 diminishes after incorrect responses at time steps 3 and 4, yet is managed at time step 7 because of the experience accumulated from correctly answering exercises related to __3 and __4."
10,"although student s1 got a wrong answer on the questions with KC of 55: Transformations and __ difculty of 0.56 and 0.43 at the beginning, DIMKT successfully predicts that s1 can correctly answer the question with the same KC of 55: Transformations and __ difculty of 0.26 because the latter question is easier. Besides, even s1 has got right answers on questions with KC of 68: Density and __ difculty of 0.14, 0.09, and 0.13, DIMKT successfully predicts that s1 would not pass the question with the same KC but harder __ difculty of 0.73. Similarly, for student s2, the predictions of DIMKT indicate the same interpretability."
11,No
12,"in the first time stamps, it predicts 0% but in this paper (CAKT: Coupling contrastive learning with attention networks for interpretable knowledge tracing), in the first time stamps, it predicts 50% (guessing)"
13,"They present it via heatmaps

""Compared with the DKT model, the DKT+ model as the extension of the DKT model solved the reconstruction problem and the wavy transition problem in the DKT model to track the student�s mastery level."""
14,"Uses heatmaps to visualize attention weights in the AKT model, showing how past responses influence current predictions.

""We see that AKT predicts their response to the current question by focusing more on previous practices on this concept (both in the immediate past and further back) than practices on another concept also in the immediate past"""
15,"the learner practiced questions corresponding to the same concept c50 in time steps 10 and 12�17. Still, all were answered wrongly, mainly due to the forgetting effect resulting from multiple intervals before reviewing concept c50. In contrast, DCKT produces lower probabilities for these questions, as the forgetting-fusion transformer enables it to extract the forgetting features of human memory"
16,"""We spot two cases that highlight the differences in forgetting modelling over multiple latent concepts considering their mutual relationships and over a single latent concept. """
17,"when a student responds to an item, not only the corresponding skill ability but also those for other skills change. Especially, because the skills of �equation solving more than two steps� (gray) and �equation solving two or few steps� (green) are similar, the ability changes of each skill also indicate a strong correlation. Consequently, the results demonstrate that the proposed method improves the interpretability of Yeung-DI. It is noteworthy that the student�s responses are not immediately reflected in the estimated ability change when the student provides a different response from the previous several continuous same responses. For example, the ability for �finding percents� (yellow) increases in items 18�19 despite incorrect responses because the Proposed-HN estimates the student�s ability with the past responses. Then, the estimated ability values change slightly later when the student provides a different response from the previous several continuous same responses."
18,No
19,"Via heatmaps

""improvements are not uniform, with occasional discontinuities due to factors like question difficulty and forgetting, demonstrating the GKT-DF model�s ability to capture the complexity and diversity of the learning process."""
20,"As a result, the estimated ability converges to an extremely high (low) value. By contrast, the proposed method shows that the ability increases gradually as the student answers items correctly by estimating an ability reflecting past ability history data. Therefore, when a student answers an item correctly (or incorrectly), the abilities of the other skills change with the ability of the corresponding skill. In addition, as shown in Fig. 5, each ability fluctuates gradually, reflecting the student�s responses while a student is addressing items in the same skill. However, when the student answers an item in a different skill, the estimated ability value fluctuates considerably. Actually, it is unlikely that the ability of a particular skill changes rapidly. In future work, we expect to improve the estimation accuracy and interpretability of multi-dimensional ability."
21,No
22,"Heatmaps: ""Upon observation, it is found that even though the student
answered incorrectly at time step 9, the mastery of the relevant
knowledge concept can be enhanced through practice"""
23,". In DiKT�s trajectory, the estimated knowledge level decreases for the second and the fourth concept which correctly portrays the student�s learning history.However, the trajectory of DKVMN does not seem to consider the second concept. We believe that DiKT is more sensitive to right and wrong answers of the students due to separating the value memory, while DKT and DKVMN encode the information into a single cell or memory."
24,"According to Figure 5, it can be observed that when encountering a new skill, the model initially tends to predict that the student will not answer questions related to that skill correctly (e.g.,__26,__152,__67, etc.). As the model encounters more questions associated with the acquired skill, it tends to believe that the student has mastered the skill and predicts that they will answer related questions correctly. However, the model makes incorrect predictions for __65-related questions, such as __5184 and __5226. This might be because the model combines the information from __5146 and __21729, which have the same skill (one question answered incorrectly and one question answered correctly), leading the model to perceive a low probability of the student answering these questions correctly"
25,"The results of the experiment showed that after a student answered a question involving knowledge point 46 and answered it correctly at moments 4 and 7, the student�s mastery level of the knowledge point increased at the next moment. When the student answered the question about Knowledge Point 46 incorrectly at moment 6, the student�s mastery level of the knowledge point decreased at the next moment. After the student correctly answered the questions involving Knowledge Point 46 at moments 16, and 17, the student�s mastery level of Knowledge Point 46 hardly changed because the student practiced Knowledge Point 46 several times, and therefore, the student should be given more time to learn other knowledge points."
26,"It can be observed that the mastery status of the third knowledge component declined following an incorrect answer to a question at the sixth time step, while the corresponding knowledge component�s mastery status increased following two consecutive correct answers at the 13th and 14th time steps. Therefore, the visualization results demonstrate the validity of the knowledge tracing process."
27,"Heatmap: ""We can observe that when the student gives a correct
(incorrect) answer, DNeuralCDM_2 tends to increase (decrease)
its diagnosed proficiency on a related KC. The lower part (1 _
30 grid) of the figure shows the changing ability diagnosed by
DIRT_2. We can further observe that when the student gives
a correct (incorrect) answer, DIRT_2 increases (decreases) its
diagnosed overall ability."""
28,"Qualitatively through heatmap (comparing two test data on the same skill/knowledge concept, one simpler and the other more difficult excercise)

Model works better for the longer sequences and in shorter sequences it may misclassify. 

when she answers an exercise right (wrong), her knowledge state on the corresponding concept increases (decreases), e.g., she acquires knowledge on �Set� after she solves an exercise of �Set� concept at her second exercising step. However, there exists an inconsistent phenomenon that her mastery level of �Function� becomes slightly lower at the
third exercising step even she answers the exercise correctly. This is because the model may not perfectly track the student with only few exercising records at the beginning, but it could get better performance if the student�s exercising records are getting longer enough in the following steps."
29,""" SAKT model underwent fluctuations in the L2-norm of knowledge embeddings. It jumped from the maximum to the minimum value, simply because of the occasional correct or incorrect answer (see red box, Nos. 1�5). When a student consistently answered exercises incorrectly, the overall L2-norm of the knowledge embedding even approached zero (see red box, Nos. 6�7). By contrast, the L2-norm of the aggregated knowledge embeddings generated by the ELAKT model was smooth, with few extreme changes. Even if a student answered multiple exercises incorrectly, the aggregated knowledge embedding remained stable. This suggests that module to aggregate input knowledge embeddings was effective in consolidating contextual knowledge embeddings and obtaining comprehensive ones. This feature is consistent with the fact that a student�s knowledge state should not change drastically over a short time, even though abnormal behaviors may occasionally occur"""
30,"To investigate whether the predicted knowledge states by our model are more stable, we calculated the Euclidean distance [1] between the predicted knowledge states at adjacent time steps for the same student. A smaller Euclidean distance indicates greater similarity between the two vectors. In our experiments, we limited the length of the students� learning sequences to 200 interactions, so Fig. 2[b] in our study shows the Euclidean distance between the predicted knowledge states before and after 200 interactions for the same student by both our model and AKT."
31,"""compared to the continuous correct answers from
the 15th time step onwards, the color after the 23rd time step
is lighter, indirectly indicating that different hidden knowledge
states at different times from the current moment have varying
impacts on the current knowledge state."""
32,"As we can see, the estimated knowledge states of c2/c5 decrease/increase quite a bit when the student mistakenly/correctly answers the 2nd/11th question that contains the KC c2/c5 respectively. As the student practices more questions, the knowledge state estimations become much more stable and after fnishing all these 50 questions, the model is confdent that the student has acquired the KCs c1 and c5"
33,"For instance, when the student correctly answers the first five exercises with the same KS �Addition and Subtraction Positive Decimals�, the mastery degree shown in the fourth row is increasing correspondingly. During the exercising, we can observe that the mastery degree of a certain KS would be affected by other ones. Take �Multiplication Fractions� as an example. The student does exercises with this KS only at 34 and 35 steps, but the predicted mastery degree of this KS changes gradually before 34 steps. This is mainly because there are potential connections between different KSs and thus they may influence each other�s mastery updates during the exercising"
34,"Heatmap: ""For instance,response representation of q6485 and q6527 share the highest weight sincethey own the same concepts (i.e., Prime Number). Furthermore, therelevant weight between q14750 and q8779 is also high, which can bepostulated that q14750 is more difficult than q8779. Therefore, the formeris answered correctly due to students� guessing while the latter isresponded incorrectly because of students� slipping. This results in asmaller difference and a larger correlation weight between corre-sponding response representations of two questions."""
35,No
36,No
37,No
38,"One notable finding from Fig 8 is the diagonal, which represents the correlation of each skill with itself. In this case, skills S2 and S5 have weight values close to zero as they are not associated with any other skills. Conversely, skills S8 and S1 show a strong correlation (weight value close to 1) because they are both connected to questions 127-129. This correlation
implies that achieving mastery in either skill S3 or S6 indicates successful performance in
answering questions 127-129."
