#,DOI,Danial_score
1,10.1016/j.knosys.2022.108274,0
2,10.1155/2022/9153697,0 or 0.5?
3,10.1016/j.ins.2022.02.044,1
4,10.1007/978-3-031-09680-8_12,0
5,10.3390/su15129427,0
6,10.1145/3488560.3498379,1
7,10.1007/978-3-030-60290-1_14,0
8,10.3390/app12147188,0
9,10.1016/j.compeleceng.2022.108179,0
10,10.1109/ICDMW.2018.00055,0
11,10.1016/j.eswa.2022.116670,1
12,10.1016/j.knosys.2021.106819,0
13,10.1109/ICASSP43922.2022.9746810,0
14,10.1016/j.eswa.2022.117681,1
15,10.1007/s10489-021-02765-w,1
16,10.1109/TLT.2023.3254544,1
17,10.1145/3529466.3529477,0
18,10.1109/ICME51207.2021.9428154,0
19,10.1007/978-3-030-67658-2_18,0
20,10.1007/978-3-030-82136-4_26,0
21,,0
22,10.1016/j.neucom.2022.02.080,1
23,10.1007/978-981-15-1899-7_4,0
24,10.1016/j.ins.2020.04.043,0.5
25,,0
26,10.1007/978-3-030-62005-9_22,0
27,10.1007/978-981-97-5612-4_41,0
28,10.1145/3472634.3472664,0
